"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\topbar\database-notifications-trigger.blade.php", "PHP", 9, 0, 0, 0, 1, 10
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\topbar\index.blade.php", "PHP", 162, 0, 0, 0, 22, 184
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\topbar\item.blade.php", "PHP", 71, 0, 0, 1, 6, 78
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\unsaved-action-changes-alert.blade.php", "PHP", 35, 0, 0, 0, 3, 38
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\user-menu.blade.php", "PHP", 86, 0, 0, 0, 14, 100
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\auth\edit-profile.blade.php", "PHP", 11, 0, 0, 0, 2, 13
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\auth\email-verification\email-verification-prompt.blade.php", "PHP", 13, 0, 0, 0, 3, 16
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\auth\login.blade.php", "PHP", 17, 0, 0, 0, 6, 23
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\auth\password-reset\request-password-reset.blade.php", "PHP", 16, 0, 0, 0, 5, 21
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\auth\password-reset\reset-password.blade.php", "PHP", 11, 0, 0, 0, 4, 15
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\auth\register.blade.php", "PHP", 17, 0, 0, 0, 6, 23
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\dashboard.blade.php", "PHP", 15, 0, 0, 0, 2, 17
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\tenancy\edit-tenant-profile.blade.php", "PHP", 9, 0, 0, 0, 2, 11
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\pages\tenancy\register-tenant.blade.php", "PHP", 9, 0, 0, 0, 2, 11
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\resources\pages\create-record.blade.php", "PHP", 19, 0, 0, 0, 3, 22
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\resources\pages\edit-record.blade.php", "PHP", 47, 0, 0, 0, 6, 53
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\resources\pages\list-records.blade.php", "PHP", 13, 0, 0, 0, 4, 17
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\resources\pages\manage-related-records.blade.php", "PHP", 24, 0, 0, 0, 5, 29
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\resources\pages\view-record.blade.php", "PHP", 45, 0, 0, 0, 3, 48
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\resources\relation-manager.blade.php", "PHP", 7, 0, 0, 0, 5, 12
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\widgets\account-widget.blade.php", "PHP", 37, 0, 0, 0, 6, 43
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\widgets\filament-info-widget.blade.php", "PHP", 66, 0, 0, 0, 5, 71
"Total", "-", 3675, 7, 3, 11, 544, 4240
